"raw_author_label","raw_year","normalized_source_id","effect_rows","hop_codes_present","source_locators","full_citation","title","container","doi","stable_url","resolution_status","resolution_confidence","candidate_count","disambiguation_basis","notes"
"Wagner et al. 2011","2011","unresolved:wagner-et-al-2011-2011","10","H2","Figure S1","","","","","","ambiguous","ambiguous","4","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Yelenik,2011","2011","doi:10.1890/10-0465.1","20","H1","Xi et al. 2021","Yelenik,2011. The role of plant–soil feedbacks in driving native-species recovery. Ecology. https://doi.org/10.1890/10-0465.1","The role of plant–soil feedbacks in driving native-species recovery","Ecology","10.1890/10-0465.1","https://doi.org/10.1890/10-0465.1","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"van de Voorde,2011","2011","doi:10.1111/j.1365-2745.2011.01815.x","30","HU","Xi et al. 2021","van de Voorde,2011. Intra- and interspecific plant-soil interactions, soil legacies and priority effects during old-field succession. Journal of Ecology. https://doi.org/10.1111/j.1365-2745.2011.01815.x","Intra- and interspecific plant-soil interactions, soil legacies and priority effects during old-field succession","Journal of Ecology","10.1111/j.1365-2745.2011.01815.x","https://doi.org/10.1111/j.1365-2745.2011.01815.x","doi_resolved","high","3","unique candidate present in published PSF reference pool(s): C","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Gao 2012","2012","unresolved:gao-2012-2012","20","H2","Figure 3.9","","","","","","ambiguous","ambiguous","7","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Perkins and Nowak,2012","2012","unresolved:perkins-and-nowak-2012-2012","12","HU","Figure 2","","","","","","ambiguous","ambiguous","3","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Reinhart 2012 Ecology","2012","doi:10.1890/12-0486.1","46","HU","Figure 1","Reinhart 2012 Ecology. The organization of plant communities: negative plant–soil feedbacks and semiarid grasslands. Ecology. https://doi.org/10.1890/12-0486.1","The organization of plant communities: negative plant–soil feedbacks and semiarid grasslands","Ecology","10.1890/12-0486.1","https://doi.org/10.1890/12-0486.1","doi_resolved","high","5","raw label journal suffix uniquely matched Ecology","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Reinhart et al. 2012","2012","doi:10.1111/j.1461-0248.2012.01786.x","6","H2","Figure 1","Reinhart et al. 2012. Predicting plant responses to mycorrhizae: integrating evolutionary history and plant traits. Ecology Letters. https://doi.org/10.1111/j.1461-0248.2012.01786.x","Predicting plant responses to mycorrhizae: integrating evolutionary history and plant traits","Ecology Letters","10.1111/j.1461-0248.2012.01786.x","https://doi.org/10.1111/j.1461-0248.2012.01786.x","doi_resolved","high","5","unique candidate present in published PSF reference pool(s): C","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Schradin,2012","2012","doi:10.3390/f3040903","16","HU","Figure 1 | Figure 2 | Xi et al. 2021","Schradin,2012. The Sign and Strength of Plant-Soil Feedback for the Invasive Shrub, Lonicera maackii, Varies in Different Soils. Forests. https://doi.org/10.3390/f3040903","The Sign and Strength of Plant-Soil Feedback for the Invasive Shrub, Lonicera maackii, Varies in Different Soils","Forests","10.3390/f3040903","https://doi.org/10.3390/f3040903","doi_resolved","high","1","unique candidate present in published PSF reference pool(s): X","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Shannon et al. 2012","2012","unresolved:shannon-et-al-2012-2012","2","H2","Figure 3","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Smith,2012","2012","unresolved:smith-2012-2012","2","HU","Xi et al. 2021","","","","","","ambiguous","ambiguous","10","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Bajpai et al. 2013","2013","doi:10.1093/aobpla/plt045","4","H2","Figure 1A","Bajpai et al. 2013. Impact of nitrogen availability and soil communities on biomass accumulation of an invasive species. AoB PLANTS. https://doi.org/10.1093/aobpla/plt045","Impact of nitrogen availability and soil communities on biomass accumulation of an invasive species","AoB PLANTS","10.1093/aobpla/plt045","https://doi.org/10.1093/aobpla/plt045","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Bakker,2013","2013","doi:10.1016/j.soilbio.2013.06.007","12","H2","Xi et al. 2021","Bakker,2013. Plant monocultures produce more antagonistic soil Streptomyces communities than high-diversity plant communities. Soil Biology and Biochemistry. https://doi.org/10.1016/j.soilbio.2013.06.007","Plant monocultures produce more antagonistic soil Streptomyces communities than high-diversity plant communities","Soil Biology and Biochemistry","10.1016/j.soilbio.2013.06.007","https://doi.org/10.1016/j.soilbio.2013.06.007","doi_resolved","high","4","unique candidate present in published PSF reference pool(s): X","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Callaway,2013","2013","doi:10.1890/12-1875.1","23","H2|HU","Figure 2 | Figure 3 | Xi et al. 2021","Callaway,2013. Native congeners provide biotic resistance to invasive <i>Potentilla</i> through soil biota. Ecology. https://doi.org/10.1890/12-1875.1","Native congeners provide biotic resistance to invasive <i>Potentilla</i> through soil biota","Ecology","10.1890/12-1875.1","https://doi.org/10.1890/12-1875.1","doi_resolved","high","1","unique candidate present in published PSF reference pool(s): X","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Hawkes,2013","2013","unresolved:hawkes-2013-2013","16","HU","Xi et al. 2021","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Hendriks,2013","2013","doi:10.1111/1365-2745.12032","32","HU","Figure 3 | Xi et al. 2021","Hendriks,2013. Independent variations of plant and soil mixtures reveal soil feedback effects on plant community overyielding. Journal of Ecology. https://doi.org/10.1111/1365-2745.12032","Independent variations of plant and soil mixtures reveal soil feedback effects on plant community overyielding","Journal of Ecology","10.1111/1365-2745.12032","https://doi.org/10.1111/1365-2745.12032","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Li et al. 2013","2013","doi:10.1007/s11368-013-0652-z","3","HU","Figure 1 | Figure 2","Li et al. 2013. Succession of plant and soil microbial communities with restoration of abandoned land in the Loess Plateau, China. Journal of Soils and Sediments. https://doi.org/10.1007/s11368-013-0652-z","Succession of plant and soil microbial communities with restoration of abandoned land in the Loess Plateau, China","Journal of Soils and Sediments","10.1007/s11368-013-0652-z","https://doi.org/10.1007/s11368-013-0652-z","doi_resolved","moderate","7","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Pendergast IV et al. 2013","2013","unresolved:pendergast-iv-et-al-2013-2013","16","HU","Figure S1 | Xi et al. 2021","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Perkins and Nowak,2013","2013","unresolved:perkins-and-nowak-2013-2013","98","HU","Crowford2019","","","","","","ambiguous","ambiguous","2","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Rodríguez-Echeverría,2013,PE","2013","doi:10.1007/s11258-013-0238-2","4","H2","Xi et al. 2021","Rodríguez-Echeverría,2013,PE. The effect of soil legacy on competition and invasion by Acacia dealbata Link. Plant Ecology. https://doi.org/10.1007/s11258-013-0238-2","The effect of soil legacy on competition and invasion by Acacia dealbata Link","Plant Ecology","10.1007/s11258-013-0238-2","https://doi.org/10.1007/s11258-013-0238-2","doi_resolved","high","2","raw label journal suffix uniquely matched Plant Ecology","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Gundale et al. 2014","2014","doi:10.1111/nph.12699","2","H2","Figure 2","Gundale et al. 2014. Interactions with soil biota shift from negative to positive when a tree species is moved outside its native range. New Phytologist. https://doi.org/10.1111/nph.12699","Interactions with soil biota shift from negative to positive when a tree species is moved outside its native range","New Phytologist","10.1111/nph.12699","https://doi.org/10.1111/nph.12699","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Maron et al. 2014","2014","unresolved:maron-et-al-2014-2014","12","HU","Appendix S1","","","","","","ambiguous","ambiguous","2","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Mo 2014","2014","unresolved:mo-2014-2014","4","H2","Figure 4-10","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Pizano et al. 2014","2014","doi:10.1111/oik.01032","3","H2","Figure A1","Pizano et al. 2014. Habitat‐specific positive and negative effects of soil biota on seedling growth in a fragmented tropical montane landscape. Oikos. https://doi.org/10.1111/oik.01032","Habitat‐specific positive and negative effects of soil biota on seedling growth in a fragmented tropical montane landscape","Oikos","10.1111/oik.01032","https://doi.org/10.1111/oik.01032","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Porazinska,2014","2014","doi:10.1016/j.soilbio.2014.06.004","2","H2","Xi et al. 2021","Porazinska,2014. Plant invasions from a belowground nematocentric perspective. Soil Biology and Biochemistry. https://doi.org/10.1016/j.soilbio.2014.06.004","Plant invasions from a belowground nematocentric perspective","Soil Biology and Biochemistry","10.1016/j.soilbio.2014.06.004","https://doi.org/10.1016/j.soilbio.2014.06.004","doi_resolved","high","2","unique candidate present in published PSF reference pool(s): X","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Schittko et al. 2014","2014","unresolved:schittko-et-al-2014-2014","12","H2","Figure 2","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Xiao et al. 2014","2014","unresolved:xiao-et-al-2014-2014","2","H2","Figure 1","","","","","","ambiguous","ambiguous","5","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Hendriks,2015,NP","2015","doi:10.1111/nph.13394","96","HU","Figure 4 | Figure S4","Hendriks,2015,NP. Spatial heterogeneity of plant–soil feedback affects root interactions and interspecific competition. New Phytologist. https://doi.org/10.1111/nph.13394","Spatial heterogeneity of plant–soil feedback affects root interactions and interspecific competition","New Phytologist","10.1111/nph.13394","https://doi.org/10.1111/nph.13394","doi_resolved","high","1","raw label journal suffix uniquely matched New Phytologist","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Kim et al. 2015","2015","unresolved:kim-et-al-2015-2015","7","H2","Figure 3-3","","","","","","ambiguous","ambiguous","6","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Kos et al. 2015 JE","2015","doi:10.1111/1365-2745.12402","22","HU","Figure 2","Kos et al. 2015 JE. Species‐specific plant–soil feedback effects on above‐ground plant–insect interactions. Journal of Ecology. https://doi.org/10.1111/1365-2745.12402","Species‐specific plant–soil feedback effects on above‐ground plant–insect interactions","Journal of Ecology","10.1111/1365-2745.12402","https://doi.org/10.1111/1365-2745.12402","doi_resolved","high","2","raw label journal suffix uniquely matched Journal of Ecology","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Kos et al. 2015 Oikos","2015","doi:10.1111/1365-2745.12402","4","HU","Figure A2","Kos et al. 2015 Oikos. Species‐specific plant–soil feedback effects on above‐ground plant–insect interactions. Journal of Ecology. https://doi.org/10.1111/1365-2745.12402","Species‐specific plant–soil feedback effects on above‐ground plant–insect interactions","Journal of Ecology","10.1111/1365-2745.12402","https://doi.org/10.1111/1365-2745.12402","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Kuebbing et al. 2015","2015","doi:10.1890/14-2006.1","6","HU","Table A4","Kuebbing et al. 2015. Plant–soil interactions promote co‐occurrence of three nonnative woody shrubs. Ecology. https://doi.org/10.1890/14-2006.1","Plant–soil interactions promote co‐occurrence of three nonnative woody shrubs","Ecology","10.1890/14-2006.1","https://doi.org/10.1890/14-2006.1","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Lalibert_x0001_e et al. 2015","2015","unresolved:lalibert-x0001-e-et-al-2015-2015","2","H2","Figure 5c","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Larios et al. 2015","2015","doi:10.1093/aobpla/plu077","12","H2","Figure S1","Larios et al. 2015. Competition and soil resource environment alter plant–soil feedbacks for native and exotic grasses. AoB PLANTS. https://doi.org/10.1093/aobpla/plu077","Competition and soil resource environment alter plant–soil feedbacks for native and exotic grasses","AoB PLANTS","10.1093/aobpla/plu077","https://doi.org/10.1093/aobpla/plu077","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Liang et al. 2015","2015","doi:10.1016/j.ecoleng.2015.04.089","36","H2","Figure 2","Liang et al. 2015. Influence of plant communities and soil properties during natural vegetation restoration on arbuscular mycorrhizal fungal communities in a karst region. Ecological Engineering. https://doi.org/10.1016/j.ecoleng.2015.04.089","Influence of plant communities and soil properties during natural vegetation restoration on arbuscular mycorrhizal fungal communities in a karst region","Ecological Engineering","10.1016/j.ecoleng.2015.04.089","https://doi.org/10.1016/j.ecoleng.2015.04.089","doi_resolved","moderate","5","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Maron et al. 2015","2015","doi:10.1007/s00442-015-3350-2","1","HU","Figure 1","Maron et al. 2015. Do exotic plants lose resistance to pathogenic soil biota from their native range? A test with Solidago gigantea. Oecologia. https://doi.org/10.1007/s00442-015-3350-2","Do exotic plants lose resistance to pathogenic soil biota from their native range? A test with Solidago gigantea","Oecologia","10.1007/s00442-015-3350-2","https://doi.org/10.1007/s00442-015-3350-2","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Orozco-Aceves,2015a PS","2015","doi:10.1007/s11104-015-2390-z","2","HU","Figure 3","Orozco-Aceves,2015a PS. Soil conditioning and plant-soil feedbacks in a modified forest ecosystem are soil-context dependent. Plant and Soil. https://doi.org/10.1007/s11104-015-2390-z","Soil conditioning and plant-soil feedbacks in a modified forest ecosystem are soil-context dependent","Plant and Soil","10.1007/s11104-015-2390-z","https://doi.org/10.1007/s11104-015-2390-z","doi_resolved","high","2","raw label journal suffix uniquely matched Plant and Soil","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Sanderson,2015","2015","unresolved:sanderson-2015-2015","4","HU","Xi et al. 2021","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Smith, 2015 Ecology","2015","doi:10.1890/14-2150.1","18","HU","Xi et al. 2021","Smith, 2015 Ecology. Plant–soil feedbacks shift from negative to positive with decreasing light in forest understory species. Ecology. https://doi.org/10.1890/14-2150.1","Plant–soil feedbacks shift from negative to positive with decreasing light in forest understory species","Ecology","10.1890/14-2150.1","https://doi.org/10.1890/14-2150.1","doi_resolved","high","12","raw label journal suffix uniquely matched Ecology","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Wagg et al. 2015","2015","doi:10.1111/1365-2745.12452","4","H2","Appendix 3 | Figure 1","Wagg et al. 2015. Complementarity in both plant and mycorrhizal fungal communities are not necessarily increased by diversity in the other. Journal of Ecology. https://doi.org/10.1111/1365-2745.12452","Complementarity in both plant and mycorrhizal fungal communities are not necessarily increased by diversity in the other","Journal of Ecology","10.1111/1365-2745.12452","https://doi.org/10.1111/1365-2745.12452","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Bayandala et al. 2016","2016","unresolved:bayandala-et-al-2016-2016","4","H1","Original data","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Bergmann et al. 2016","2016","doi:10.1002/ece3.2456","18","HU","Authors","Bergmann et al. 2016. The interplay between soil structure, roots, and microbiota as a determinant of plant–soil feedback. Ecology and Evolution. https://doi.org/10.1002/ece3.2456","The interplay between soil structure, roots, and microbiota as a determinant of plant–soil feedback","Ecology and Evolution","10.1002/ece3.2456","https://doi.org/10.1002/ece3.2456","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Cortois et al. 2016","2016","doi:10.1111/1365-2745.12643","96","HU","Table S3","Cortois et al. 2016. Plant–soil feedbacks: role of plant functional group and plant traits. Journal of Ecology. https://doi.org/10.1111/1365-2745.12643","Plant–soil feedbacks: role of plant functional group and plant traits","Journal of Ecology","10.1111/1365-2745.12643","https://doi.org/10.1111/1365-2745.12643","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Dostalek,2016","2016","unresolved:dostalek-2016-2016","4","HU","Figure 1","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Heinze,2016","2016","doi:10.1007/s00442-016-3591-8","18","H1|H2","Xi et al. 2021","Heinze,2016. Plant-soil feedbacks: a comparative study on the relative importance of soil feedbacks in the greenhouse versus the field. Oecologia. https://doi.org/10.1007/s00442-016-3591-8","Plant-soil feedbacks: a comparative study on the relative importance of soil feedbacks in the greenhouse versus the field","Oecologia","10.1007/s00442-016-3591-8","https://doi.org/10.1007/s00442-016-3591-8","doi_resolved","high","2","unique candidate present in published PSF reference pool(s): S","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Hemrova,2016","2016","unresolved:hemrova-2016-2016","28","H1|HU","Table S2 | Table S3","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Kuebbing et al. 2016","2016","unresolved:kuebbing-et-al-2016-2016","6","H2|HU","Table 2","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Kulmatiski et al. 2016","2016","unresolved:kulmatiski-et-al-2016-2016","132","HU","Table S1","","","","","","ambiguous","ambiguous","2","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Liang et al. 2016","2016","unresolved:liang-et-al-2016-2016","6","H2","Figure 1","","","","","","ambiguous","ambiguous","7","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Nagendra et al. 2016","2016","unresolved:nagendra-et-al-2016-2016","24","H2","Figure S1","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Pattison,2016","2016","doi:10.1111/wre.12200","1","HU","Xi et al. 2021","Pattison,2016. Positive plant–soil feedbacks of the invasive <i>Impatiens glandulifera</i> and their effects on above‐ground microbial communities. Weed Research. https://doi.org/10.1111/wre.12200","Positive plant–soil feedbacks of the invasive <i>Impatiens glandulifera</i> and their effects on above‐ground microbial communities","Weed Research","10.1111/wre.12200","https://doi.org/10.1111/wre.12200","doi_resolved","high","1","unique candidate present in published PSF reference pool(s): X","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Perkins,2016","2016","unresolved:perkins-2016-2016","12","HU","Xi et al. 2021","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Rigg et al. 2016","2016","unresolved:rigg-et-al-2016-2016","20","H2","Original data","","","","","","ambiguous","ambiguous","2","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Rutten et al. 2016","2016","doi:10.1890/15-1316.1","24","H2","Author","Rutten et al. 2016. Plant–soil feedback in East‐African savanna trees. Ecology. https://doi.org/10.1890/15-1316.1","Plant–soil feedback in East‐African savanna trees","Ecology","10.1890/15-1316.1","https://doi.org/10.1890/15-1316.1","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Schittko et al. 2016","2016","doi:10.1111/1365-2745.12603","16","H1|H2","Original data","Schittko et al. 2016. No evidence that plant–soil feedback effects of native and invasive plant species under glasshouse conditions are reflected in the field. Journal of Ecology. https://doi.org/10.1111/1365-2745.12603","No evidence that plant–soil feedback effects of native and invasive plant species under glasshouse conditions are reflected in the field","Journal of Ecology","10.1111/1365-2745.12603","https://doi.org/10.1111/1365-2745.12603","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Wubs, 2016","2016","doi:10.1038/nplants.2016.107","30","HU","Original data","Wubs, 2016. Soil inoculation steers restoration of terrestrial ecosystems. Nature Plants. https://doi.org/10.1038/nplants.2016.107","Soil inoculation steers restoration of terrestrial ecosystems","Nature Plants","10.1038/nplants.2016.107","https://doi.org/10.1038/nplants.2016.107","doi_resolved","high","2","unique candidate present in published PSF reference pool(s): X","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Aguilera et al. 2017","2017","doi:10.1007/s11258-016-0697-3","1","HU","Figure 3","Aguilera et al. 2017. Effect of plant–soil feedbacks on the growth and competition of Lactuca species. Plant Ecology. https://doi.org/10.1007/s11258-016-0697-3","Effect of plant–soil feedbacks on the growth and competition of Lactuca species","Plant Ecology","10.1007/s11258-016-0697-3","https://doi.org/10.1007/s11258-016-0697-3","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Bauer,2017","2017","doi:10.1111/1365-2664.12937","72","HU","Xi et al. 2021","Bauer,2017. Effects of between‐site variation in soil microbial communities and plant‐soil feedbacks on the productivity and composition of plant communities. Journal of Applied Ecology. https://doi.org/10.1111/1365-2664.12937","Effects of between‐site variation in soil microbial communities and plant‐soil feedbacks on the productivity and composition of plant communities","Journal of Applied Ecology","10.1111/1365-2664.12937","https://doi.org/10.1111/1365-2664.12937","doi_resolved","moderate","5","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Bennett et al. 2017","2017","doi:10.1126/science.aai8212","55","H2","Apendix","Bennett et al. 2017. Plant-soil feedbacks and mycorrhizal type influence temperate forest population dynamics. Science. https://doi.org/10.1126/science.aai8212","Plant-soil feedbacks and mycorrhizal type influence temperate forest population dynamics","Science","10.1126/science.aai8212","https://doi.org/10.1126/science.aai8212","doi_resolved","high","5","unique candidate present in published PSF reference pool(s): SX","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Crawford-Knight,2017","2017","unresolved:crawford-knight-2017-2017","2","HU","Xi et al. 2021","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Fitzpatrick,2017","2017","doi:10.1111/1365-2745.12709","406","HU","Original data","Fitzpatrick,2017. Phylogenetic relatedness, phenotypic similarity and plant–soil feedbacks. Journal of Ecology. https://doi.org/10.1111/1365-2745.12709","Phylogenetic relatedness, phenotypic similarity and plant–soil feedbacks","Journal of Ecology","10.1111/1365-2745.12709","https://doi.org/10.1111/1365-2745.12709","doi_resolved","high","3","unique candidate present in published PSF reference pool(s): C","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Gomez-Aparicio et al. 2017","2017","unresolved:gomez-aparicio-et-al-2017-2017","8","H2","Figure 1","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Kulmatiski et al. 2017","2017","doi:10.1002/ecy.2011","12","HU","Table S1","Kulmatiski et al. 2017. Live long and prosper: plant–soil feedback, lifespan, and landscape abundance covary. Ecology. https://doi.org/10.1002/ecy.2011","Live long and prosper: plant–soil feedback, lifespan, and landscape abundance covary","Ecology","10.1002/ecy.2011","https://doi.org/10.1002/ecy.2011","doi_resolved","high","2","unique candidate present in published PSF reference pool(s): X","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Orozco-Aceves,2017","2017","doi:10.1016/j.ecoleng.2017.06.004","4","H2","Xi et al. 2021","Orozco-Aceves,2017. Correlation between soil development and native plant growth in forest restoration after surface mining. Ecological Engineering. https://doi.org/10.1016/j.ecoleng.2017.06.004","Correlation between soil development and native plant growth in forest restoration after surface mining","Ecological Engineering","10.1016/j.ecoleng.2017.06.004","https://doi.org/10.1016/j.ecoleng.2017.06.004","doi_resolved","high","1","unique candidate present in published PSF reference pool(s): X","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Semchenko et al. 2017","2017","doi:10.1111/nph.14653","4","HU","Original data","Semchenko et al. 2017. Intraspecific genetic diversity modulates plant–soil feedback and nutrient cycling. New Phytologist. https://doi.org/10.1111/nph.14653","Intraspecific genetic diversity modulates plant–soil feedback and nutrient cycling","New Phytologist","10.1111/nph.14653","https://doi.org/10.1111/nph.14653","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Su et al. 2017","2017","doi:10.1016/j.apsoil.2017.09.039","21","HU","Table 6-4","Su et al. 2017. Novel soil fumigation strategy suppressed plant-parasitic nematodes associated with soil nematode community alterations in the field. Applied Soil Ecology. https://doi.org/10.1016/j.apsoil.2017.09.039","Novel soil fumigation strategy suppressed plant-parasitic nematodes associated with soil nematode community alterations in the field","Applied Soil Ecology","10.1016/j.apsoil.2017.09.039","https://doi.org/10.1016/j.apsoil.2017.09.039","doi_resolved","moderate","7","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Teste et al. 2017","2017","doi:10.1126/science.aai8291","32","H2","Apendix","Teste et al. 2017. Plant-soil feedback and the maintenance of diversity in Mediterranean-climate shrublands. Science. https://doi.org/10.1126/science.aai8291","Plant-soil feedback and the maintenance of diversity in Mediterranean-climate shrublands","Science","10.1126/science.aai8291","https://doi.org/10.1126/science.aai8291","doi_resolved","high","1","unique candidate present in published PSF reference pool(s): SX","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Vink et al. 2017","2017","unresolved:vink-et-al-2017-2017","240","HU","Original data","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Xin et al. 2017","2017","unresolved:xin-et-al-2017-2017","4","H2","Figure 3-2","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
